ECU0: LK, ECU0: CC, ECU0: SENSING
5870, ECU0: LK, 0
5880, ECU0: CC, 1
5750, ECU0: SENSING, 1
5760, ECU0: SENSING, 0
5810, ECU0: SENSING, 1
5820, ECU0: SENSING, 0
5890, ECU0: CC, 0
5890, ECU0: LK, 1
5910, ECU0: CC, 1
5920, ECU0: CC, 0
5930, ECU0: LK, 0
5930, ECU0: SENSING, 1
5940, ECU0: CC, 1
5940, ECU0: SENSING, 0
5950, ECU0: CC, 0
5950, ECU0: LK, 1
5970, ECU0: CC, 1
5980, ECU0: CC, 0
5990, ECU0: LK, 0
6000, ECU0: CC, 1
6010, ECU0: CC, 0
6010, ECU0: LK, 1
6030, ECU0: CC, 1
6040, ECU0: CC, 0
6050, ECU0: LK, 0
6060, ECU0: CC, 1
6070, ECU0: CC, 0
6070, ECU0: LK, 1
6090, ECU0: CC, 1
6100, ECU0: CC, 0
6110, ECU0: LK, 0
6120, ECU0: CC, 1
6130, ECU0: CC, 0
6130, ECU0: LK, 1
6150, ECU0: CC, 1
6160, ECU0: CC, 0
6170, ECU0: LK, 0
6180, ECU0: CC, 1
6190, ECU0: CC, 0
6050, ECU0: SENSING, 1
6060, ECU0: SENSING, 0
6110, ECU0: SENSING, 1
6120, ECU0: SENSING, 0
6190, ECU0: LK, 1
6210, ECU0: CC, 1
6220, ECU0: CC, 0
6230, ECU0: LK, 0
6230, ECU0: SENSING, 1
6240, ECU0: CC, 1
6240, ECU0: SENSING, 0
6250, ECU0: CC, 0
6250, ECU0: LK, 1
6270, ECU0: CC, 1
6280, ECU0: CC, 0
6290, ECU0: LK, 0
6300, ECU0: CC, 1
6310, ECU0: CC, 0
6310, ECU0: LK, 1
6330, ECU0: CC, 1
6340, ECU0: CC, 0
6350, ECU0: LK, 0
6360, ECU0: CC, 1
6370, ECU0: CC, 0
6370, ECU0: LK, 1
6390, ECU0: CC, 1
6400, ECU0: CC, 0
6410, ECU0: LK, 0
6420, ECU0: CC, 1
6430, ECU0: CC, 0
6430, ECU0: LK, 1
6450, ECU0: CC, 1
6460, ECU0: CC, 0
6470, ECU0: LK, 0
6480, ECU0: CC, 1
6350, ECU0: SENSING, 1
6360, ECU0: SENSING, 0
6410, ECU0: SENSING, 1
6420, ECU0: SENSING, 0
6490, ECU0: CC, 0
6490, ECU0: LK, 1
6510, ECU0: CC, 1
6520, ECU0: CC, 0
6530, ECU0: LK, 0
6530, ECU0: SENSING, 1
6540, ECU0: CC, 1
6540, ECU0: SENSING, 0
6550, ECU0: CC, 0
6550, ECU0: LK, 1
6570, ECU0: CC, 1
6580, ECU0: CC, 0
6590, ECU0: LK, 0
6600, ECU0: CC, 1
6610, ECU0: CC, 0
6610, ECU0: LK, 1
6630, ECU0: CC, 1
6640, ECU0: CC, 0
6650, ECU0: LK, 0
6660, ECU0: CC, 1
6670, ECU0: CC, 0
6670, ECU0: LK, 1
6690, ECU0: CC, 1
6700, ECU0: CC, 0
6710, ECU0: LK, 0
6720, ECU0: CC, 1
6730, ECU0: CC, 0
6730, ECU0: LK, 1
6750, ECU0: CC, 1
6760, ECU0: CC, 0
6770, ECU0: LK, 0
6780, ECU0: CC, 1
6650, ECU0: SENSING, 1
6660, ECU0: SENSING, 0
6710, ECU0: SENSING, 1
6720, ECU0: SENSING, 0
6790, ECU0: CC, 0
6790, ECU0: LK, 1
6810, ECU0: CC, 1
6820, ECU0: CC, 0
6830, ECU0: LK, 0
6830, ECU0: SENSING, 1
6840, ECU0: CC, 1
6840, ECU0: SENSING, 0
6850, ECU0: CC, 0
6850, ECU0: LK, 1
6870, ECU0: CC, 1
6880, ECU0: CC, 0
6890, ECU0: LK, 0
6900, ECU0: CC, 1
6910, ECU0: CC, 0
6910, ECU0: LK, 1
6930, ECU0: CC, 1
6940, ECU0: CC, 0
6950, ECU0: LK, 0
6960, ECU0: CC, 1
6970, ECU0: CC, 0
6970, ECU0: LK, 1
6990, ECU0: CC, 1
7000, ECU0: CC, 0
7010, ECU0: LK, 0
7020, ECU0: CC, 1
7030, ECU0: CC, 0
7030, ECU0: LK, 1
7050, ECU0: CC, 1
7060, ECU0: CC, 0
7070, ECU0: LK, 0
7080, ECU0: CC, 1
6950, ECU0: SENSING, 1
6960, ECU0: SENSING, 0
7010, ECU0: SENSING, 1
7020, ECU0: SENSING, 0
7090, ECU0: CC, 0
7090, ECU0: LK, 1
7110, ECU0: CC, 1
7120, ECU0: CC, 0
7130, ECU0: LK, 0
7130, ECU0: SENSING, 1
7140, ECU0: CC, 1
7140, ECU0: SENSING, 0
7150, ECU0: CC, 0
7150, ECU0: LK, 1
7170, ECU0: CC, 1
7180, ECU0: CC, 0
7190, ECU0: LK, 0
7200, ECU0: CC, 1
7210, ECU0: CC, 0
7210, ECU0: LK, 1
7230, ECU0: CC, 1
7240, ECU0: CC, 0
7250, ECU0: LK, 0
7260, ECU0: CC, 1
7270, ECU0: CC, 0
7270, ECU0: LK, 1
7290, ECU0: CC, 1
